,VoltageApplied,VoltageInput,Velocity,time
0,0.0,14.875,0.0,0.015
1,0.0,14.875,0.0,0.025
2,0.0,14.875,0.0,0.035
3,0.0,14.875,0.0,0.045
4,0.0,14.875,0.0,0.05499999999999999
5,0.07000000029802322,14.875,0.0,0.06499999999999999
6,0.09000000357627869,14.875,0.0,0.075
7,0.10000000149011612,14.875,0.0,0.085
8,0.11999999731779099,14.875,0.0,0.09500000000000001
9,0.12999999523162842,14.875,0.0,0.10500000000000002
10,0.15000000596046448,14.875,0.0,0.11500000000000003
11,0.15000000596046448,14.875,0.0,0.12500000000000003
12,0.1599999964237213,14.875,0.0,0.13500000000000004
13,0.17000000178813934,14.875,0.0,0.14500000000000005
14,0.1899999976158142,14.875,0.0,0.15500000000000005
15,0.20000000298023224,14.875,0.0,0.16500000000000006
16,0.2199999988079071,14.875,0.0,0.17500000000000007
17,0.23000000417232513,14.875,0.0,0.18500000000000008
18,0.25,14.875,0.0,0.1950000000000001
19,0.2800000011920929,14.875,0.0,0.2050000000000001
20,0.28999999165534973,14.875,0.0,0.2150000000000001
21,0.30000001192092896,14.875,0.0,0.22500000000000012
22,0.3199999928474426,14.800000190734863,0.0,0.23500000000000013
23,0.33000001311302185,14.800000190734863,0.0,0.24500000000000013
24,0.3499999940395355,14.800000190734863,0.0,0.2550000000000001
25,0.36000001430511475,14.800000190734863,0.0,0.2650000000000001
26,0.3700000047683716,14.800000190734863,0.0,0.27500000000000013
27,0.3700000047683716,14.800000190734863,0.0,0.28500000000000014
28,0.38999998569488525,14.800000190734863,0.0,0.29500000000000015
29,0.4000000059604645,14.800000190734863,-0.01171875,0.31000000000000016
30,0.41999998688697815,14.800000190734863,-0.01171875,0.3200000000000002
31,0.44999998807907104,14.800000190734863,-0.005859375,0.3250000000000002
32,0.4399999976158142,14.800000190734863,-0.005859375,0.3350000000000002
33,0.4699999988079071,14.800000190734863,-0.005859375,0.3500000000000002
34,0.49000000953674316,14.800000190734863,-0.005859375,0.3550000000000002
35,0.5,14.800000190734863,-0.01171875,0.3650000000000002
36,0.5199999809265137,14.800000190734863,-0.01171875,0.3700000000000002
37,0.5299999713897705,14.800000190734863,0.0,0.3800000000000002
38,0.5400000214576721,14.800000190734863,0.0,0.39000000000000024
39,0.5600000023841858,14.800000190734863,-0.01171875,0.40000000000000024
40,0.5600000023841858,14.800000190734863,-0.01171875,0.40500000000000025
41,0.5699999928474426,14.800000190734863,0.005859375,0.41500000000000026
42,0.5699999928474426,14.800000190734863,0.005859375,0.42500000000000027
43,0.5600000023841858,14.800000190734863,0.0234375,0.4350000000000003
44,0.6200000047683716,14.800000190734863,0.0234375,0.4400000000000003
45,0.6299999952316284,14.800000190734863,-0.005859375,0.4450000000000003
46,0.6399999856948853,14.800000190734863,-0.005859375,0.4550000000000003
47,0.6399999856948853,14.649999618530273,0.095703125,0.4600000000000003
48,0.6600000262260437,14.649999618530273,0.095703125,0.4700000000000003
49,0.6700000166893005,14.649999618530273,0.00390625,0.4800000000000003
50,0.6899999976158142,14.649999618530273,0.00390625,0.4900000000000003
51,0.699999988079071,14.649999618530273,0.03515625,0.49500000000000033
52,0.699999988079071,14.649999618530273,0.03515625,0.5050000000000003
53,0.7300000190734863,14.649999618530273,0.00390625,0.5150000000000003
54,0.7300000190734863,14.649999618530273,0.00390625,0.5150000000000003
55,0.7400000095367432,14.649999618530273,0.0234375,0.5250000000000004
56,0.7599999904632568,14.649999618530273,0.0234375,0.5300000000000004
57,0.7599999904632568,14.649999618530273,0.00390625,0.5400000000000004
58,0.7599999904632568,14.649999618530273,0.00390625,0.5500000000000004
59,0.7699999809265137,14.649999618530273,0.021484375,0.5550000000000004
60,0.7900000214576721,14.649999618530273,0.021484375,0.5600000000000004
61,0.800000011920929,14.649999618530273,0.08203125,0.5700000000000004
62,0.8100000023841858,14.649999618530273,0.08203125,0.5800000000000004
63,0.8100000023841858,14.649999618530273,0.02734375,0.5900000000000004
64,0.8299999833106995,14.649999618530273,0.02734375,0.5950000000000004
65,0.8399999737739563,14.649999618530273,-0.005859375,0.6000000000000004
66,0.8600000143051147,14.649999618530273,-0.005859375,0.6050000000000004
67,0.8600000143051147,14.649999618530273,0.033203125,0.6100000000000004
68,0.8700000047683716,14.649999618530273,0.033203125,0.6150000000000004
69,0.8799999952316284,14.649999618530273,0.001953125,0.6250000000000004
70,0.8999999761581421,14.649999618530273,0.001953125,0.6300000000000004
71,0.9100000262260437,14.649999618530273,0.001953125,0.6400000000000005
72,0.9100000262260437,14.600000381469727,0.001953125,0.6450000000000005
73,0.9100000262260437,14.600000381469727,0.099609375,0.6500000000000005
74,0.9300000071525574,14.600000381469727,0.099609375,0.6550000000000005
75,0.9399999976158142,14.600000381469727,0.087890625,0.6600000000000005
76,0.9399999976158142,14.600000381469727,0.087890625,0.6650000000000005
77,0.9599999785423279,14.600000381469727,0.001953125,0.6700000000000005
78,0.9599999785423279,14.600000381469727,0.001953125,0.6800000000000005
79,0.9700000286102295,14.600000381469727,0.09765625,0.6850000000000005
80,0.9800000190734863,14.600000381469727,0.09765625,0.6900000000000005
81,0.9800000190734863,14.600000381469727,0.0,0.6950000000000005
82,1.0,14.600000381469727,0.0,0.6950000000000005
83,1.0,14.600000381469727,0.103515625,0.7000000000000005
84,1.0099999904632568,14.600000381469727,0.103515625,0.7100000000000005
85,1.0099999904632568,14.600000381469727,0.091796875,0.7150000000000005
86,1.0299999713897705,14.600000381469727,0.091796875,0.7200000000000005
87,1.0399999618530273,14.600000381469727,0.03515625,0.7350000000000005
